RID,Name,Gender,Chinese,Math,Total,,
1,,M,90.5,91,181.5,,
2,,F,87,93,180,,
3,,M,97,100,197,,
4,,M,86,93,179,,
5,,F,79,76,155,,
6,,F,84,88,172,,
7,,F,81.5,84,165.5,,
8,,F,47,52,99,,
9,,M,93,99,192,,
10,,M,23,47,70,,
11,,F,94,97,191,,
12,,F,88,91,179,,
13,,F,87,94,181,,
14,,F,84,86,170,,
15,,F,96,98,194,,
16,,M,67,73,140,,
17,,F,98,91,189,,
18,,F,67,71,138,,
19,,M,71.5,74,145.5,,
20,,M,57,62,119,,
21,,F,99,97,196,,
22,,F,61,76,137,,
23,,F,97,95,192,,
24,,F,87.5,97,184.5,,
25,,M,89,90,179,,
26,,F,87,91,178,,
27,,M,28,35,63,,
28,,M,81.5,89,170.5,,
29,,M,14,17,31,,
30,,F,0,0,0,,
31,,F,95,94,189,,
32,,M,90.5,97,187.5,,
33,,M,94,96,190,,
34,,M,11,34,45,,
35,,F,95,94,189,,
36,,M,72,78,150,,
37,,M,86.5,81,167.5,,
38,,F,65,72,137,,
39,,M,82,87,169,,
40,,F,89,92,181,,
41,,M,33,42,75,,
42,,M,92,86,178,,
43,,M,48,74,122,,
44,,M,85.5,93,178.5,,
45,,F,69,89,158,,
46,,M,95,99,194,,
47,,M,80.5,93,173.5,,
48,,M,74,91,165,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
