RID,Name,Gender,Chinese,Math,Total,,
1,,M,89,89,178,,
2,,M,94,99,193,,
3,,F,76.5,97,173.5,,
4,,F,65,83,148,,
5,,F,0,0,0,,
6,,M,75,76,151,,
7,,F,68,90,158,,
8,,M,80,98,178,,
9,,M,76,84,160,,
10,,M,47,80,127,,
11,,M,85.5,86,171.5,,
12,,F,98,86,184,,
13,,F,82,91,173,,
14,,F,95,96,191,,
15,,F,0,0,0,,
16,,F,80,92,172,,
17,,F,97,94,191,,
18,,F,92,97,189,,
19,,M,90,93,183,,
20,,M,93.5,87,180.5,,
21,,M,88,85,173,,
22,,F,60,85,145,,
23,,M,87,89,176,,
24,,M,53,87,140,,
25,,M,76.5,82,158.5,,
26,,M,81.5,89,170.5,,
27,,M,78,89,167,,
28,,F,98,92,190,,
29,,F,85,97,182,,
30,,F,45,68,113,,
31,,F,75.5,80,155.5,,
32,,M,56,72,128,,
33,,F,60,62,122,,
34,,F,42,55,97,,
35,,F,72,88,160,,
36,,M,81.5,93,174.5,,
37,,M,65.5,77,142.5,,
38,,F,78,74,152,,
39,,F,61,69,130,,
40,,F,71.5,79,150.5,,
41,,M,69,72,141,,
42,,M,87,94,181,,
43,,M,61,67,128,,
44,,M,74,78,152,,
45,,F,62,70,132,,
46,,M,96,100,196,,
47,,M,76.5,81,157.5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
