RID,Name,Gender,Chinese,Math,Total,,
1,,F,98,95,193,,
2,,F,55,53,108,,
3,,M,89,96,185,,
4,,M,94,91,185,,
5,,F,96,83,179,,
6,,M,90,88,178,,
7,,F,89.5,86,175.5,,
8,,F,92.5,83,175.5,,
9,,M,90,85,175,,
10,,F,39,68,107,,
11,,M,43.5,62,105.5,,
12,,M,92.5,75,167.5,,
13,,F,48,41,89,,
14,,M,90.5,70,160.5,,
15,,M,24.5,53,77.5,,
16,,F,22,42,64,,
17,,F,77,76,153,,
18,,F,12.5,32,44.5,,
19,,F,78,92,170,,
20,,M,76,81,157,,
21,,M,71,85,156,,
22,,M,15,25,40,,
23,,F,82,62,144,,
24,,F,84,60,144,,
25,,F,92,97,189,,
26,,M,93.5,100,193.5,,
27,,F,90,95,185,,
28,,M,65.5,72,137.5,,
29,,M,72,65,137,,
30,,F,70.5,76,146.5,,
31,,M,69,77,146,,
32,,M,75.5,90,165.5,,
33,,F,68,73,141,,
34,,M,65,76,141,,
35,,M,68,73,141,,
36,,M,86,93,179,,
37,,F,71,60,131,,
38,,M,71.5,56,127.5,,
39,,F,64.5,71,135.5,,
40,,F,60,66,126,,
41,,M,61,63,124,,
42,,F,60,60,120,,
43,,F,67,60,127,,
44,,M,61,72,133,,
45,,M,52.5,61,113.5,,
46,,M,47,65,112,,
47,,F,88.5,92,180.5,,
48,,F,79,85,164,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
