RID,Name,Gender,Chinese,Math,Total,,
1,,M,62,70,132,,
2,,M,92,80,172,,
3,,F,77,79,156,,
4,,F,69,82,151,,
5,,F,77.5,82,159.5,,
6,,M,81.5,82,163.5,,
7,,M,96,86,182,,
8,,M,43,70,113,,
9,,M,90,82,172,,
10,,F,80,92,172,,
11,,F,83,69,152,,
12,,F,95,92,187,,
13,,M,87,83,170,,
14,,F,39,72,111,,
15,,F,76.5,92,168.5,,
16,,F,87,85,172,,
17,,M,98,93,191,,
18,,M,90,90,180,,
19,,M,81,91,172,,
20,,M,93.5,98,191.5,,
21,,M,90,96,186,,
22,,M,71,89,160,,
23,,F,90,95,185,,
24,,M,74,83,157,,
25,,M,84,85,169,,
26,,F,37,76,113,,
27,,F,88,92,180,,
28,,F,89.5,92,181.5,,
29,,F,86,94,180,,
30,,F,75,93,168,,
31,,F,47,83,130,,
32,,F,72.5,84,156.5,,
33,,F,51.5,85,136.5,,
34,,M,88.5,89,177.5,,
35,,F,74,90,164,,
36,,F,74,89,163,,
37,,F,70,89,159,,
38,,M,0,0,0,,
39,,M,90,91,181,,
40,,M,71,88,159,,
41,,M,48,85,133,,
42,,F,100,90,190,,
43,,F,75.5,88,163.5,,
44,,M,60,84,144,,
45,,M,74,91,165,,
46,,M,64,86,150,,
47,,M,77.5,91,168.5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
