RID,Name,Gender,Chinese,Math,Total,,
1,,F,81,87,168,,
2,,F,65,88,153,,
3,,F,69,87,156,,
4,,M,51,67,118,,
5,,M,80.5,92,172.5,,
6,,M,61,89,150,,
7,,F,94.5,100,194.5,,
8,,F,72,93,165,,
9,,F,62.5,83,145.5,,
10,,F,63,84,147,,
11,,F,86,83,169,,
12,,F,85,92,177,,
13,,F,89,89,178,,
14,,F,95,100,195,,
15,,M,82.5,90,172.5,,
16,,M,93.5,96,189.5,,
17,,F,91.5,99,190.5,,
18,,M,89,86,175,,
19,,F,69,84,153,,
20,,M,87.5,96,183.5,,
21,,F,46,73,119,,
22,,F,92,95,187,,
23,,F,88,93,181,,
24,,M,92.5,91,183.5,,
25,,M,65,87,152,,
26,,M,78.5,89,167.5,,
27,,F,61,83,144,,
28,,M,82,96,178,,
29,,M,38,79,117,,
30,,M,81,84,165,,
31,,M,49,54,103,,
32,,F,64,0,64,,
33,,M,39,41,80,,
34,,M,86.5,93,179.5,,
35,,M,81.5,88,169.5,,
36,,M,75.5,91,166.5,,
37,,M,51,54,105,,
38,,M,79,90,169,,
39,,M,74,84,158,,
40,,F,81,82,163,,
41,,M,90.5,95,185.5,,
42,,F,70.5,83,153.5,,
43,,F,89,88,177,,
44,,F,72.5,79,151.5,,
45,,F,83.5,80,163.5,,
46,,M,82,91,173,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
