RID,Name,Gender,Chinese,Math,Total,,
1,,F,85,94,179,,
2,,F,49.5,87,136.5,,
3,,F,65,80,145,,
4,,M,55,68,123,,
5,,M,82,97,179,,
6,,M,56.5,88,144.5,,
7,,F,93,99,192,,
8,,F,71,91,162,,
9,,F,63,86,149,,
10,,F,59,76,135,,
11,,F,90,84,174,,
12,,F,87,91,178,,
13,,F,96,91,187,,
14,,F,91,98,189,,
15,,M,80,0,80,,
16,,M,100,95,195,,
17,,F,97,98,195,,
18,,M,95,89,184,,
19,,F,50,81,131,,
20,,M,81,92,173,,
21,,F,51,89,140,,
22,,F,91,98,189,,
23,,F,86,96,182,,
24,,M,93,89,182,,
25,,M,59,83,142,,
26,,M,82.5,93,175.5,,
27,,F,57,88,145,,
28,,M,77,95,172,,
29,,M,45,84,129,,
30,,M,76.5,78,154.5,,
31,,M,42,60,102,,
32,,F,60,77,137,,
33,,M,2,21,23,,
34,,M,85.5,94,179.5,,
35,,M,73,81,154,,
36,,M,78.5,90,168.5,,
37,,M,63,60,123,,
38,,M,77,85,162,,
39,,M,74,83,157,,
40,,F,81,80,161,,
41,,M,87.5,92,179.5,,
42,,F,72,86,158,,
43,,F,90,84,174,,
44,,F,75.5,82,157.5,,
45,,F,80,76,156,,
46,,M,88.5,93,181.5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
