RID,Name,Gender,Chinese,Math,Total,,
1,,M,64.5,72,136.5,,
2,,M,91.5,88,179.5,,
3,,F,72,80,152,,
4,,F,65,67,132,,
5,,F,80.5,86,166.5,,
6,,M,83,89,172,,
7,,M,95,91,186,,
8,,M,51,71,122,,
9,,M,91,82,173,,
10,,F,85,91,176,,
11,,F,79,67,146,,
12,,F,94,96,190,,
13,,M,85.5,85,170.5,,
14,,F,31,63,94,,
15,,F,77.5,88,165.5,,
16,,F,88,86,174,,
17,,M,91,90,181,,
18,,M,91,92,183,,
19,,M,79,88,167,,
20,,M,95.5,100,195.5,,
21,,M,0,0,0,,
22,,M,72,87,159,,
23,,F,91.5,96,187.5,,
24,,M,72,81,153,,
25,,M,83.5,86,169.5,,
26,,F,47,68,115,,
27,,F,86.5,90,176.5,,
28,,F,91,94,185,,
29,,F,84.5,92,176.5,,
30,,F,72.5,93,165.5,,
31,,F,60,67,127,,
32,,F,70.5,85,155.5,,
33,,F,49,77,126,,
34,,M,87.5,91,178.5,,
35,,F,76,92,168,,
36,,F,77,97,174,,
37,,F,72,85,157,,
38,,M,94.5,99,193.5,,
39,,M,89.5,92,181.5,,
40,,M,81,90,171,,
41,,M,52,74,126,,
42,,F,91,90,181,,
43,,F,73.5,87,160.5,,
44,,M,71,89,160,,
45,,M,75.5,90,165.5,,
46,,M,66.5,84,150.5,,
47,,M,72.4,86,158.4,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
