RID,Name,Gender,Chinese,Math,Total,,
1,,M,65,80,145,,
2,,M,72,87,159,,
3,,F,73.5,85,158.5,,
4,,F,76,81,157,,
5,,F,94,98,192,,
6,,M,88.5,100,188.5,,
7,,M,60,71,131,,
8,,M,41,52,93,,
9,,M,69,78,147,,
10,,F,76,84,160,,
11,,F,78.5,89,167.5,,
12,,F,77,83,160,,
13,,M,82.5,89,171.5,,
14,,F,84,82,166,,
15,,F,85,89,174,,
16,,F,90.5,84,174.5,,
17,,M,87,85,172,,
18,,M,42,49,91,,
19,,M,93,84,177,,
20,,M,60,74,134,,
21,,M,92,91,183,,
22,,M,73.5,72,145.5,,
23,,F,80.5,86,166.5,,
24,,M,79,89,168,,
25,,M,84.5,86,170.5,,
26,,F,19,27,46,,
27,,F,78,81,159,,
28,,F,84,87,171,,
29,,F,62.5,82,144.5,,
30,,F,87.5,90,177.5,,
31,,F,83.5,79,162.5,,
32,,F,94,86,180,,
33,,F,73,91,164,,
34,,M,88,97,185,,
35,,F,46,52,98,,
36,,F,61,74,135,,
37,,F,85.5,84,169.5,,
38,,M,71,95,166,,
39,,M,70.5,83,153.5,,
40,,M,83,86,169,,
41,,M,86.5,82,168.5,,
42,,F,69,90,159,,
43,,F,62,75,137,,
44,,M,89,96,185,,
45,,M,76.5,81,157.5,,
46,,M,80.5,84,164.5,,
47,,M,91,87,178,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
