RID,Name,Gender,Chinese,Math,Total,,
1,,M,63.5,81,144.5,,
2,,M,70.5,85,155.5,,
3,,F,72,86,158,,
4,,F,74,78,152,,
5,,F,97,93,190,,
6,,M,70,99,169,,
7,,M,54,75,129,,
8,,M,48,67,115,,
9,,M,57,75,132,,
10,,F,79.5,82,161.5,,
11,,F,80,85,165,,
12,,F,72,78,150,,
13,,M,80,83,163,,
14,,F,88,89,177,,
15,,F,76,80,156,,
16,,F,95,89,184,,
17,,M,90,81,171,,
18,,M,39,52,91,,
19,,M,91,76,167,,
20,,M,54,71,125,,
21,,M,90,93,183,,
22,,M,70,67,137,,
23,,F,85.5,84,169.5,,
24,,M,83,93,176,,
25,,M,81,81,162,,
26,,F,0,2,2,,
27,,F,80,77,157,,
28,,F,78,84,162,,
29,,F,58,80,138,,
30,,F,90,96,186,,
31,,F,89,83,172,,
32,,F,91.5,79,170.5,,
33,,F,67,93,160,,
34,,M,87.5,90,177.5,,
35,,F,30,41,71,,
36,,F,54,71,125,,
37,,F,88.5,80,168.5,,
38,,M,67,97,164,,
39,,M,71,79,150,,
40,,M,88.5,78,166.5,,
41,,M,90,74,164,,
42,,F,62,85,147,,
43,,F,65,80,145,,
44,,M,80,92,172,,
45,,M,78,79,157,,
46,,M,77,79,156,,
47,,M,93,84,177,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
