RID,Name,Gender,Chinese,Math,Total,,
1,,F,96,97,193,,
2,,F,68,65,133,,
3,,M,87.5,93,180.5,,
4,,M,95,87,182,,
5,,F,97.5,81,178.5,,
6,,M,93.5,90,183.5,,
7,,F,91,80,171,,
8,,F,89.5,88,177.5,,
9,,M,85.5,91,176.5,,
10,,F,65.5,78,143.5,,
11,,M,62,64,126,,
12,,M,83.5,76,159.5,,
13,,F,41,50,91,,
14,,M,71,78,149,,
15,,M,60,61,121,,
16,,F,31,51,82,,
17,,F,70,72,142,,
18,,F,23,48,71,,
19,,F,81,91,172,,
20,,M,80.5,85,165.5,,
21,,M,73,88,161,,
22,,M,35,50,85,,
23,,F,77.5,79,156.5,,
24,,F,74.5,54,128.5,,
25,,F,90.5,98,188.5,,
26,,M,95.5,98,193.5,,
27,,F,91,92,183,,
28,,M,73.5,80,153.5,,
29,,M,70.5,74,144.5,,
30,,F,75.5,78,153.5,,
31,,M,72,81,153,,
32,,M,73,91,164,,
33,,F,66.5,76,142.5,,
34,,M,69,78,147,,
35,,M,71,79,150,,
36,,M,85,94,179,,
37,,F,69,65,134,,
38,,M,68,65,133,,
39,,F,70,79,149,,
40,,F,66.5,71,137.5,,
41,,M,55,60,115,,
42,,F,62,65,127,,
43,,F,63,64,127,,
44,,M,71.5,76,147.5,,
45,,M,60,64,124,,
46,,M,55,69,124,,
47,,F,90.5,94,184.5,,
48,,F,82,88,170,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
