RID,Name,Gender,Chinese,Math,Total,,
1,,M,76,83,159,,
2,,M,94.5,90,184.5,,
3,,F,83,87,170,,
4,,F,83,91,174,,
5,,M,97,92,189,,
6,,F,86.5,89,175.5,,
7,,M,0,91,91,,
8,,M,41.5,64,105.5,,
9,,M,86,87,173,,
10,,F,93.5,96,189.5,,
11,,M,34,86,120,,
12,,M,39.5,81,120.5,,
13,,M,79.5,71,150.5,,
14,,F,76,87,163,,
15,,M,41,84,125,,
16,,M,69,92,161,,
17,,M,93.5,85,178.5,,
18,,M,47,62,109,,
19,,M,81,93,174,,
20,,M,86.5,96,182.5,,
21,,M,86,92,178,,
22,,F,79,87,166,,
23,,F,91.5,85,176.5,,
24,,M,88.5,82,170.5,,
25,,F,19.5,75,94.5,,
26,,F,85.5,0,85.5,,
27,,M,82.5,89,171.5,,
28,,F,73,90,163,,
29,,M,92,90,182,,
30,,M,85.5,89,174.5,,
31,,M,87.5,98,185.5,,
32,,F,41,55,96,,
33,,F,71,74,145,,
34,,F,83,87,170,,
35,,M,84,92,176,,
36,,F,89,81,170,,
37,,M,90,76,166,,
38,,F,31,47,78,,
39,,F,77.5,86,163.5,,
40,,F,86,88,174,,
41,,M,70,79,149,,
42,,F,91,75,166,,
43,,F,89,98,187,,
44,,F,68,87,155,,
45,,F,61,66,127,,
46,,F,72.5,85,157.5,,
47,,F,52,71,123,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
