RID,Name,Gender,Chinese,Math,Total,,
1,,M,65,88,153,,
2,,F,95,98,193,,
3,,M,91,96,187,,
4,,M,84,83,167,,
5,,F,60,73,133,,
6,,F,88,85,173,,
7,,M,93,92,185,,
8,,M,70,75,145,,
9,,M,78,81,159,,
10,,M,0,0,0,,
11,,M,76,89,165,,
12,,M,81.5,85,166.5,,
13,,M,61,80,141,,
14,,F,77,87,164,,
15,,M,80.5,86,166.5,,
16,,M,47,91,138,,
17,,F,91,86,177,,
18,,F,73,87,160,,
19,,M,68,88,156,,
20,,F,60,82,142,,
21,,M,88,93,181,,
22,,F,39,38,77,,
23,,M,88.5,89,177.5,,
24,,M,84.5,84,168.5,,
25,,M,81,93,174,,
26,,M,72,84,156,,
27,,F,91.5,100,191.5,,
28,,F,78,85,163,,
29,,F,71,88,159,,
30,,F,56,71,127,,
31,,M,93,91,184,,
32,,F,89,88,177,,
33,,F,94.5,98,192.5,,
34,,M,89.5,95,184.5,,
35,,M,69,81,150,,
36,,F,74.5,73,147.5,,
37,,F,92,90,182,,
38,,F,77,80,157,,
39,,F,81.5,89,170.5,,
40,,F,95,96,191,,
41,,F,47,55,102,,
42,,F,80,82,162,,
43,,M,85.5,91,176.5,,
44,,F,70.5,80,150.5,,
45,,F,71,79,150,,
46,,M,61,53,114,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
