RID,Name,Gender,Chinese,Math,Total,,
1,,M,90,85,175,,
2,,M,95.5,100,195.5,,
3,,F,71,92,163,,
4,,F,79,90,169,,
5,,F,81.5,91,172.5,,
6,,M,69.5,71,140.5,,
7,,F,77,91,168,,
8,,M,78,89,167,,
9,,M,81,87,168,,
10,,M,60,77,137,,
11,,M,86.5,90,176.5,,
12,,F,89,81,170,,
13,,F,88,95,183,,
14,,F,94,98,192,,
15,,F,91,90,181,,
16,,F,76,87,163,,
17,,F,0,0,0,,
18,,F,90.5,98,188.5,,
19,,M,92,90,182,,
20,,M,89,94,183,,
21,,M,83.5,85,168.5,,
22,,F,55,79,134,,
23,,M,76,84,160,,
24,,M,66,81,147,,
25,,M,70.5,79,149.5,,
26,,M,84.5,91,175.5,,
27,,M,80,87,167,,
28,,F,89,90,179,,
29,,F,86,95,181,,
30,,F,32,54,86,,
31,,F,81,86,167,,
32,,M,62,70,132,,
33,,F,39,52,91,,
34,,F,44,49,93,,
35,,F,77.5,90,167.5,,
36,,M,83,94,177,,
37,,M,70,73,143,,
38,,F,72.5,69,141.5,,
39,,F,70.5,71,141.5,,
40,,F,69,73,142,,
41,,M,62,70,132,,
42,,M,90,96,186,,
43,,M,64,69,133,,
44,,M,69,71,140,,
45,,F,55,69,124,,
46,,M,92,97,189,,
47,,M,72.5,82,154.5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
