RID,Name,Gender,Chinese,Math,Total,,
1,,M,88.5,86,174.5,,
2,,F,89,95,184,,
3,,M,95,99,194,,
4,,M,26,91,117,,
5,,F,83,80,163,,
6,,F,78,82,160,,
7,,F,78,75,153,,
8,,F,42,60,102,,
9,,M,94,97,191,,
10,,M,16,44,60,,
11,,F,93,99,192,,
12,,F,72.5,87,159.5,,
13,,F,91,90,181,,
14,,F,93,89,182,,
15,,F,98,94,192,,
16,,M,43,90,133,,
17,,F,96,81,177,,
18,,F,70,70,140,,
19,,M,0,0,0,,
20,,M,60,65,125,,
21,,F,98,97,195,,
22,,F,50,72,122,,
23,,F,96,99,195,,
24,,F,91.5,98,189.5,,
25,,M,93,85,178,,
26,,F,82.5,94,176.5,,
27,,M,10,11,21,,
28,,M,74,82,156,,
29,,M,8,4,12,,
30,,F,8,60,68,,
31,,F,96,88,184,,
32,,M,91,91,182,,
33,,M,93,98,191,,
34,,M,29,67,96,,
35,,F,96,90,186,,
36,,M,64,69,133,,
37,,M,84.5,84,168.5,,
38,,F,54,66,120,,
39,,M,82,84,166,,
40,,F,97,94,191,,
41,,M,2,5,7,,
42,,M,90,79,169,,
43,,M,35,80,115,,
44,,M,80,99,179,,
45,,F,71,94,165,,
46,,M,91.5,100,191.5,,
47,,M,74.5,90,164.5,,
48,,M,76,92,168,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
