RID,Name,Gender,Chinese,Math,Total,,
1,,M,67,69,136,,
2,,F,0,0,0,,
3,,M,28,65,93,,
4,,M,5,46,51,,
5,,F,95.5,92,187.5,,
6,,M,75,69,144,,
7,,M,96,91,187,,
8,,F,91.5,94,185.5,,
9,,M,79,81,160,,
10,,M,36,57,93,,
11,,F,82,68,150,,
12,,F,86.5,76,162.5,,
13,,M,79,77,156,,
14,,F,93,77,170,,
15,,M,90,73,163,,
16,,F,93,70,163,,
17,,M,55,65,120,,
18,,F,90,75,165,,
19,,F,46,87,133,,
20,,M,92,81,173,,
21,,M,61,71,132,,
22,,M,90.5,73,163.5,,
23,,F,60,74,134,,
24,,F,60,78,138,,
25,,M,20,74,94,,
26,,F,46,67,113,,
27,,M,80.5,91,171.5,,
28,,F,6,51,57,,
29,,F,20,46,66,,
30,,M,93.5,100,193.5,,
31,,M,84,93,177,,
32,,F,91,98,189,,
33,,F,88,94,182,,
34,,M,78.5,92,170.5,,
35,,F,85,90,175,,
36,,M,78,86,164,,
37,,F,90,81,171,,
38,,M,72,71,143,,
39,,M,76.5,82,158.5,,
40,,F,80,82,162,,
41,,F,75,93,168,,
42,,F,86,90,176,,
43,,M,70,72,142,,
44,,M,77,82,159,,
45,,F,90,99,189,,
46,,F,75,87,162,,
47,,M,90,90,180,,
48,,F,87,84,171,,
