RID,Name,Gender,Chinese,Math,Total,,
1,,F,87,78,165,,
2,,F,88.5,96,184.5,,
3,,F,85,89,174,,
4,,F,89,90,179,,
5,,M,92.5,96,188.5,,
6,,M,86,90,176,,
7,,F,88,87,175,,
8,,F,68,84,152,,
9,,M,85,88,173,,
10,,M,87,87,174,,
11,,M,81,85,166,,
12,,F,70,89,159,,
13,,F,82,98,180,,
14,,M,0,87,87,,
15,,F,83.5,85,168.5,,
16,,M,87,92,179,,
17,,M,76,74,150,,
18,,F,80.5,88,168.5,,
19,,M,91,93,184,,
20,,M,84.5,84,168.5,,
21,,M,78,90,168,,
22,,M,79,94,173,,
23,,M,94,92,186,,
24,,M,86.5,91,177.5,,
25,,M,97,100,197,,
26,,F,85.5,91,176.5,,
27,,F,90,88,178,,
28,,F,79.5,92,171.5,,
29,,F,89,93,182,,
30,,F,73,95,168,,
31,,F,52,79,131,,
32,,F,91.5,94,185.5,,
33,,M,31,0,31,,
34,,M,95.5,98,193.5,,
35,,F,68,76,144,,
36,,M,71,64,135,,
37,,F,74,84,158,,
38,,F,69,79,148,,
39,,M,60,68,128,,
40,,M,66,60,126,,
41,,M,72.5,89,161.5,,
42,,F,69,86,155,,
43,,M,85,89,174,,
44,,M,87.5,93,180.5,,
45,,F,30,50,80,,
46,,M,71,85,156,,
47,,F,72.5,80,152.5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
