RID,Name,Gender,Chinese,Math,Total,,
1,,M,51,82,133,,
2,,F,94,95,189,,
3,,M,94,92,186,,
4,,M,78.5,84,162.5,,
5,,F,23,80,103,,
6,,F,90.5,85,175.5,,
7,,M,86,90,176,,
8,,M,61,78,139,,
9,,M,81,85,166,,
10,,M,10,57,67,,
11,,M,78,85,163,,
12,,M,86,89,175,,
13,,M,55,73,128,,
14,,F,75.5,88,163.5,,
15,,M,82.5,88,170.5,,
16,,M,57.5,90,147.5,,
17,,F,92.5,85,177.5,,
18,,F,69,78,147,,
19,,M,71.5,86,157.5,,
20,,F,55.5,81,136.5,,
21,,M,92.5,92,184.5,,
22,,F,8,36,44,,
23,,M,82,88,170,,
24,,M,82,82,164,,
25,,M,72,96,168,,
26,,M,61.5,83,144.5,,
27,,F,87,95,182,,
28,,F,80.5,89,169.5,,
29,,F,75,80,155,,
30,,F,60,62,122,,
31,,M,90,95,185,,
32,,F,85.5,91,176.5,,
33,,F,93,97,190,,
34,,M,91.5,100,191.5,,
35,,M,74,86,160,,
36,,F,88,76,164,,
37,,F,89,81,170,,
38,,F,73.5,82,155.5,,
39,,F,84,93,177,,
40,,F,91.5,92,183.5,,
41,,F,47,60,107,,
42,,F,81.5,88,169.5,,
43,,M,83,95,178,,
44,,F,62,71,133,,
45,,F,79.5,77,156.5,,
46,,M,0,0,0,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
