RID,Name,Gender,Chinese,Math,Total,,,,,,,,
1,,M,63,67,130,,,,,,,,
2,,F,96,97,193,,,,,,,,
3,,F,89,84,173,,,,,,,,
4,,F,49,72,121,,,,,,,,
5,,F,78,93,171,,,,,,,,
6,,M,60,70,130,,,,,,,,
7,,M,42,61,103,,,,,,,,
8,,M,66,77,143,,,,,,,,
9,,F,86,75,161,,,,,,,,
10,,M,86,93,179,,,,,,,,
11,,F,60,78,138,,,,,,,,
12,,F,61.5,61,122.5,,,,,,,,
13,,F,52,67,119,,,,,,,,
14,,M,81,84,165,,,,,,,,
15,,F,55,52,107,,,,,,,,
16,,F,36.5,39,75.5,,,,,,,,
17,,M,21.5,67,88.5,,,,,,,,
18,,F,15.5,60,75.5,,,,,,,,
19,,M,78,86,164,,,,,,,,
20,,F,64,60,124,,,,,,,,
21,,F,71,82,153,,,,,,,,
22,,F,26,47,73,,,,,,,,
23,,F,78.5,83,161.5,,,,,,,,
24,,M,72,75,147,,,,,,,,
25,,F,80.5,70,150.5,,,,,,,,
26,,M,62,79,141,,,,,,,,
27,,M,11.5,29,40.5,,,,,,,,
28,,F,79.5,85,164.5,,,,,,,,
29,,F,76,88,164,,,,,,,,
30,,F,64,74,138,,,,,,,,
31,,M,92,93,185,,,,,,,,
32,,M,74,87,161,,,,,,,,
33,,F,70,82,152,,,,,,,,
34,,M,81,94,175,,,,,,,,
35,,M,55.5,68,123.5,,,,,,,,
36,,M,65,79,144,,,,,,,,
37,,F,0,13,13,,,,,,,,
38,,M,65,77,142,,,,,,,,
39,,M,91,97,188,,,,,,,,
40,,F,86,95,181,,,,,,,,
41,,M,85,90,175,,,,,,,,
42,,F,81,82,163,,,,,,,,
43,,M,72,88,160,,,,,,,,
44,,M,69,71,140,,,,,,,,
45,,F,90,96,186,,,,,,,,
46,,M,61.5,77,138.5,,,,,,,,
47,,M,79.5,86,165.5,,,,,,,,
48,,M,69.5,60.5,130,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
