RID,Name,Gender,Chinese,Math,Total,,
1,,F,89.5,81,170.5,,
2,,F,86,95,181,,
3,,F,83,85,168,,
4,,F,92,91,183,,
5,,M,91,90,181,,
6,,M,83,89,172,,
7,,F,0,91,91,,
8,,F,63,82,145,,
9,,M,81,85,166,,
10,,M,90,89,179,,
11,,M,75,93,168,,
12,,F,67,82,149,,
13,,F,79,95,174,,
14,,M,37,80,117,,
15,,F,88,88,176,,
16,,M,88.5,0,88.5,,
17,,M,68,80,148,,
18,,F,79,90,169,,
19,,M,93.5,91,184.5,,
20,,M,83,85,168,,
21,,M,75.5,89,164.5,,
22,,M,80,91,171,,
23,,M,98,90,188,,
24,,M,89.5,96,185.5,,
25,,M,98,96,194,,
26,,F,84,86,170,,
27,,F,88.5,92,180.5,,
28,,F,78,93,171,,
29,,F,85,91,176,,
30,,F,71,90,161,,
31,,F,55,57,112,,
32,,F,95,97,192,,
33,,M,5,36,41,,
34,,M,92,100,192,,
35,,F,61,70,131,,
36,,M,67.5,65,132.5,,
37,,F,72,81,153,,
38,,F,65,72,137,,
39,,M,51,69,120,,
40,,M,60,55,115,,
41,,M,71.5,84,155.5,,
42,,F,63,76,139,,
43,,M,87,91,178,,
44,,M,82.5,92,174.5,,
45,,F,23,40,63,,
46,,M,69,81,150,,
47,,F,75.5,79,154.5,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
